Sl No,Level,Country,Number of Vote,Date of Votes,eng,ger,fre,ita,spa,por,jpn,chi,rus,Number of Yes-Votes in National Council,Number of No-Votes in National Council,Number of Abstentions in National Council,Number of Yes-Votes in States Council,Number of No-Votes in States Council,Number of Abstentions in States Council,Recommendation of Government,Total Electorate,Citizen Abroad,Number Of Voters,Empty Ballot Sheets,Invalid Ballot Sheets,Yes Votes,No Votes,Number of States accepting,Number of States rejecting,Linked Vote Status,Linked Vote,Without Response,Tie-Break Question: Number of People Supporting,Tie-Break Question: Number of State Supporting,Tie-Break Question: Without Response,Institutions,Number of Signatures,Number of Cantons attained (Referendum),Committee name,Comments,Theme codes,Turnout,Valid Ballot Sheets,Yes [%],No [%],Result,Def. Result
549,Country,Switzerland,59,23/11/1902,Constitutional amendment on the support for public primary schools by the federal authorities,Bundesbeschluss betreffend die Unterstützung der öffentlichen Primarschule durch den Bund,Arrêté fédéral concernant la subvention de l'école primaire publique par la Confédération,Decreto federale sull'inserimento d'un articolo 27bis nella Costituzione federale (sovvenzione alla scuola primaria pubblica),,,,,,,,,,,,None,757320,0,353177,12449,1732,258567,80429,21.5,0.5,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,Schools | Intergovernmental relations | none,46.63,338996,76.27,23.73,yes,
550,Country,Switzerland,57,04/11/1900,"""Proportional election of the House of Representatives""",Eidgenössische Volksinitiative 'für die Proporzwahl des Nationalrates',Initiative populaire fédérale tendant à l'introduction du système proportionnel dans les élections au Conseil national,Iniziativa popolare per l'elezione proporzionale del Consiglio nazionale,,,,,,,,,,,,None,747262,0,439111,17539,7898,169008,244666,10.5,11.5,none,,,0,,0,Initiative (Formulated Draft),64675,,Katholisch-Konservative und Sozialdemokratische ParteiParti socialiste suisse et catholiques-conservateurs,,Electoral system | Parliament | none,58.75,413674,40.86,59.14,no,
551,Country,Switzerland,58,04/11/1900,"""Public election of the cabinet and increase in the number of its members""",Eidgenössische Volksinitiative 'für die Volkswahl des Bundesrates und die Vermehrung der Mitgliederzahl',Initiative populaire fédérale tendant à la nomination du Conseil fédéral par le peuple,Iniziativa popolare per l'elezione popolare del Consiglio federale e l'aumento del numero dei consiglieri federali,,,,,,,,,,,,None,747262,0,439498,15734,7316,145926,270522,8,14,none,,,0,,0,Initiative (Formulated Draft),56350,,Katholisch-Konservative und Sozialdemokratische ParteiParti socialiste suisse et catholiques-conservateurs,,"Electoral system | Government, administration | Citizens' rights",58.81,416448,35.04,64.96,no,
552,Country,Switzerland,56,20/05/1900,"Law on health and accident insurance, including military insurance",Bundesgesetz betreffend die Kranken- und Unfallversicherung mit Einschluss der Militärversicherung,Loi fédérale sur l'assurance contre les maladies et les accidents et sur l'assurance militaire,Legge federale concernente l'assicurazione contro le malattie e gl'infortuni e l'assicurazione militare,,,,,,,,,,,,None,745228,0,497350,5636,1765,148035,341914,,,none,,,0,,0,Optional Legislative Referendum (Federal Statutes),117461,,,,Health and accident insurance | none | none,66.73,489949,30.21,69.79,no,
553,Country,Switzerland,54,13/11/1898,Constitutional amendment on harmonisation of the law,Bundesbeschluss betreffend Revision des Artikels 64 der Bundesverfassung,Arrêté fédéral concernant la révision de l'article 64 de la Constitution fédérale,Decreto federale sulla modificazione dell'articolo 64 della Costituzione federale (unificazione del diritto),,,,,,,,,,,,None,734075,0,387226,15922,4628,264914,101762,16.5,5.5,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,Private law | Intergovernmental relations | none,52.75,366676,72.25,27.75,yes,
554,Country,Switzerland,55,13/11/1898,Constitutional amendment on harmonising criminal law,Bundesbeschluss betreffend Aufnahme eines Artikels 64bis in die Bundesverfassung,Arrêté fédéral concernant l'insertion d'un article 64bis dans la Constitution fédérale,Decreto federale sull'inserimento d'un articolo 64bis nella Constituzione federale,,,,,,,,,,,,None,734075,0,387593,15300,3903,266610,101780,16.5,5.5,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,Criminal law | Intergovernmental relations | none,52.79,368390,72.37,27.63,yes,
555,Country,Switzerland,53,20/02/1898,Law on acquisition and operation of railways at federal expense and the administrative organisation of the Swiss national railways,Bundesgesetz betreffend die Erwerbung und den Betrieb von Eisenbahnen für Rechnung des Bundes und die Organisation der Verwaltung der schweizerischen Bundesbahnen,Loi fédérale concernant l'acquisition et l'exploitation des chemins de fer pour le compte de la Confédération ainsi que l'organisation de l'administration des chemins de fer fédéraux,Legge federale concernente l'acquisto e l'esercizio di strade ferrate per conto della Confederazione nonché l'ordinamento dell'Amministrazione delle SFF,,,,,,98,29,Not known,25,17,Not known,Acceptance,734644,0,573565,2754,1459,386634,182718,,,none,,,0,,0,Optional Legislative Referendum (Federal Statutes),85505,,,Im Grundsätzlichen wurde der Entwurf aber von der Bundesversammlung unverändert angenommen  dagegen wurde er in seinen organisatorischen Bestimmungen modifiziert. Im Ständerat erfolgte  die Annahme mit 25 gegen 17 Stimmen  im Nationalrat mit 98 gegen 29. Das letzte Wort hatte indessen das Volk  und es begnügte sich nicht mit der stillschweigenden Zustimmung  denn mit 86'000 Unterschriften  von denen aus der Waadt allein über 11'000 stammten  kam das Referendum gegen das Gesetz zustande. in: Eidgenössisches Amt für Verkehr (Hrsg.) Ein Jahrhundert Schweizer Bahnen 1847-1947  Band 1. Frauenfeld  Verlag Huber  Seite 131.,Rail transport | none | none,78.06,569352,67.91,32.09,yes,
556,Country,Switzerland,51,11/07/1897,Constitutional amendment on right of residence,Bundesbeschluss über die Revision des Art. 24 der Bundesverfassung,Arrêté fédéral révisant l'article 24 de la constitution fédérale,Decreto federale concernente la modificazione dell'articolo 24 della Costituzione federale (polizia delle arginature e delle foreste),,,,,,,,,,,,None,716883,0,277184,25444,6077,156102,89561,16,6,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,Forestry | Environmental policy | none,38.66,245663,63.54,36.46,yes,
557,Country,Switzerland,52,11/07/1897,"Constitutional amendment on trade in foodstuffs, drink and tobacco as well as other potentially dangerous consumer products",Bundesbeschluss betreffend Bundesgesetzgebung über den Verkehr mit Nahrungs- und Genussmitteln und mit solchen Gebrauchs- und Verbrauchsgegenständen  welche das Leben oder die Gesundheit gefährden können,Arrêté fédéral concernant la législation fédérale sur le commerce des denrées alimentaires ainsi que sur le commerce des articles de ménage et des objets usuels qui peuvent mettre en danger la santé ou la vie,Decreto federale sull'inserimento d'un articolo 69bis nella Costituzione federale (polizia del commercio delle derrate alimentari),,,,,,,,,,,,None,716883,0,277852,24023,4624,162250,86955,18.5,3.5,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,Consumer protection | Intergovernmental relations | Health policy,38.75,249205,65.11,34.89,yes,
558,Country,Switzerland,50,28/02/1897,Law on setting up the Swiss National Bank,Bundesgesetz über die Errichtung der schweizerischen Bundesbank,Loi fédérale créant une Banque de la Confédération suisse,Legge federale per la creazione di una Banca della Confederazione Svizzera,,,,,,,,,,,,None,715342,0,462143,8198,2197,195764,255984,,,none,,,0,,0,Optional Legislative Referendum (Federal Statutes),78340,,,,National bank | Monetary policy | Intergovernmental relations,64.59,451748,43.33,56.67,no,
559,Country,Switzerland,47,04/10/1896,Law on guarantees in cattle trade,Bundesgesetz betreffend die Gewährleistung beim Viehhandel,Loi fédérale sur la garantie des défauts dans le commerce des bestiaux,Legge federale sulla garanzia nel commercio del bestiame,,,,,,,,,,,,None,714033,0,411308,20483,6827,174880,209118,,,none,,,0,,0,Optional Legislative Referendum (Federal Statutes),45982,,,,Livestock | Private law | none,57.59,383998,45.54,54.46,no,
560,Country,Switzerland,48,04/10/1896,Law on railway company accounts,Bundesgesetz über das Rechnungswesen der Eisenbahnen,Loi fédérale sur la comptabilité des chemins de fer,Legge federale sulla contabilità delle ferrovie,,,,,,,,,,,,None,714033,0,412989,10095,3089,223228,176577,,,none,,,0,,0,Optional Legislative Referendum (Federal Statutes),59706,,,,Rail transport | none | none,57.84,399805,55.83,44.17,yes,
561,Country,Switzerland,49,04/10/1896,Law on disciplinary code for the Swiss army,Bundesgesetz betreffend die Disciplinarstrafordnung für die eidgenössische Armee,Loi fédérale sur les peines disciplinaires dans l'armée suisse,Legge federale sulle pene disciplinari nell'esercito svizzero,,,,,,,,,,,,None,714033,0,411173,15717,7295,77169,310992,,,none,,,0,,0,Optional Legislative Referendum (Federal Statutes),69386,,,,Armed forces - general | Criminal law | none,57.58,388161,19.88,80.12,no,
562,Country,Switzerland,46,03/11/1895,Constitutional amendment on the armed forces,Bundesbeschluss über die Revision der Militärartikel der Bundesverfassung,Arrêté fédéral concernant la révision des articles de la constitution fédérale relatifs à l'organisation militaire,Risoluzione federale concernente la modificazione degli articoli sugli affari militari,,,,,,,,,,,,None,697131,0,473178,7066,1277,195178,269751,4.5,17.5,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,Military organisation | Division of tasks | none,67.87,464929,41.98,58.02,no,
563,Country,Switzerland,45,29/09/1895,Constitutional amendment on monopoly on production of matches,Bundesbeschluss über die Ergänzung der Bundesverfassung durch Zusatzbestimmungen betreffend die Einführung des Zündhölzchenmonopols,Arrêté du conseil fédéral relatif à la votation populaire sur l'arrêté fédéral du 26 mars 1895 (dispositions addittionnelles concernant l'introduction du monopole des allumettes destinées à compléter la constitution fédérale du 29 mai 1874),Risoluzione federale concernente disposizioni addizionali alla Costiuzione federale relative all'introduzione del monopolio dei fiammiferi,,,,,,,,,,,,None,690592,0,335818,9442,2236,140174,184109,7.5,14.5,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,Competition policy | Employment conditions | Health policy,48.65,324283,43.23,56.77,no,
564,Country,Switzerland,44,03/02/1895,Law on Swiss representation abroad,Bundesgesetz betreffend die Vertretung der Schweiz im Auslande,Loi fédérale sur la représentation de la Suisse à l'étranger,Legge federale concernente la rappresentanza della Svizzera all'estero,,,,,,,,,,,,None,689180,0,319281,11992,4781,124517,177991,,,none,,,0,,0,Optional Legislative Referendum (Federal Statutes),37040,,,,Foreign policy | none | none,46.33,302508,41.16,58.84,no,
565,Country,Switzerland,43,04/11/1894,"""Sharing of a portion of customs revenue among the cantons""",Eidgenössische Volksinitiative 'zur Abgabe eines Teils der Zolleinnahmen an die Kantone',Initiative populaire fédérale tendant à faire réparti entre les cantons une partie des recettes des douanes,Inizitiativa popolare concernente la ripartizione fra i Cantoni di una parte dei proventi doganali,,,,,,,,,,,,None,690250,0,502864,5524,1239,145462,350639,8.5,13.5,none,,,0,,0,Initiative (Formulated Draft),67828,,Foederalisten und Berner Konservative,,Intergovernmental relations | Financial system | none,71.88,496101,29.32,70.68,no,
566,Country,Switzerland,42,03/06/1894,"""Guarantee of the right to work""",Eidgenössische Volksinitiative 'zur Gewährleistung des Rechts auf Arbeit',Initiative populaire fédérale concernant le droit au travail,Iniziativa popolare concernente il diritto al lavoro,,,,,,,,,,,,None,680731,0,392027,5865,1993,75880,308289,,22,none,,,0,,0,Initiative (Formulated Draft),52387,,Sozialdemokratische Partei der SchweizParti socialiste suisse,,Employment policy | Unemployment insurance | Fundamental rights,57.59,384169,19.75,80.25,no,
567,Country,Switzerland,41,04/03/1894,Constitutional amendment on the right to legislate on professional trades,Bundesbeschluss vom 20. Dezember 1893 betreffend Ergänzung der Bundesverfassung durch einen Zusatz bezüglich des Rechts der Gesetzgebung über das Gewerbewesen,Arrêté fédéral concernant la votation populaire sur l'arrêté fédéral du 20 décembre 1893 relatif à l'adjonction à la constitution fédérale d'un nouvel article donnant à la Confédération le droit de légiférer en matière de métiers,Risoluzione federale concernente la legislazione sui mestieri,,,,,,,,,,,,None,676854,0,316707,21454,1048,135713,158492,7.5,14.5,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,Economic policy | none | none,46.79,294205,46.13,53.87,no,
568,Country,Switzerland,40,20/08/1893,"""Ban on ritual slaughter without prior anaesthetisation""",Eidgenössische Volksinitiative 'für ein Verbot des Schlachtens ohne vorherige Betäubung',Initiative populaire fédérale concernant l'interdiction de l'abatage des animaux sans étourdissement préalable,Iniziativa popolare concernente il divieto della macellazione rituale,,,,,,,,,,,,None,668913,0,328983,8600,1755,191527,127101,11.5,10.5,none,,,0,,0,Initiative (Formulated Draft),83159,,Kantonale Tierschutzvereine von Bern und Aargau sowie Antisemiten,,Livestock | Religion - churches | none,49.18,318628,60.11,39.89,yes,
569,Country,Switzerland,39,06/12/1891,Constitutional amendment on purchase of the Swiss central railway,Bundesbeschluss betreffend den Ankauf der schweizerischen Centralbahn,Arrêté fédéral concernant l'achat du chemin de fer Central suisse,Risoluzione federale concernente l'acquisto della Ferrovia Centrale svizzera,,,,,,Not known,Not known,Not known,Not known,Not known,Not known,,653792,0,420135,0,0,130729,289406,,,none,,,0,,0,Optional Legislative Referendum (Federal Decrees),91698,,,Aber dagegen wurde das Referendum ergriffen  [...]. Der Kapitalbetrag von 1000 Franken pro Aktie wurde angesichts der vielen ausländischen Aktionäre vielfach als zu hoch betrachtet; die prinzipielle Staatsbahngegnerschaft  starke katholisch-konservative und welsche (zum Teil um den Simplon besorgte) Kontingente und regionale Interessen in Kantonen ausserhalb des Centralbahn-Rayons  wie Zürich  hatten sich zu einer erdrückenden Opposition vereinigt. Dass die Centralbahn-Verstaatlichung als eine regionale Bevorzugung betrachtet wurde  kam in der einhelligen Zustimmung der Centralbahn-Kantone ebenso zum Ausdruck wie in der Ablehnung durch Kantone ausserhalb des Centralbahn-Gebietes. in: Eidgenössisches Amt für Verkehr (Hrsg.) Ein Jahrhundert Schweizer Bahnen 1847-1947  Band 1. Frauenfeld  Verlag Huber  Seite 125.,Rail transport | none | none,64.26,420135,31.12,68.88,no,
570,Country,Switzerland,37,18/10/1891,Constitutional amendment on political rights,Bundesbeschluss betreffend Revision von Art. 39 der Bundesverfassung,Arrêté fédéral concernant la révision de l'article 39 de la constitution fédérale,Risoluzione federale concernente la revisione dell'articolo 39 della Costituzione federale (biglietti di banca),,,,,,,,,,,,None,654372,0,405483,13400,1890,231578,158615,14,8,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,Monetary policy | National bank | Intergovernmental relations,61.9,390193,59.35,40.65,yes,
